system_time,time,pos,curr,angular_pos,position(cm),angular_vel,linear_vel
1751365571.3251684,6098.0,-5423.0,482.52,69.52564102564102,7.2807081027425,1.4646119597155163,8.787671758293097
1751365571.337396,6109.0,-5495.0,482.52,70.44871794871794,7.3773724920837225,1.4646119597155163,8.787671758293097
1751365571.34397,6119.0,-5566.0,482.52,71.35897435897436,7.472694320461875,1.5886971396358862,9.532182837815316
1751365571.356642,6129.0,-5638.0,483.69,72.28205128205128,7.5693587098031,1.6110731556870677,9.666438934122406
1751365571.3646336,6140.0,-5709.0,483.69,73.1923076923077,7.664680538181252,1.4442701269416924,8.665620761650155
1751365571.377642,6151.0,-5780.0,483.69,74.1025641025641,7.760002366559404,1.4442701269416924,8.665620761650155
1751365571.387397,6161.0,-5851.0,483.69,75.01282051282051,7.855324194937556,1.5886971396358616,9.532182837815169
1751365571.3981366,6171.0,-5922.0,483.69,75.92307692307692,7.9506460233157075,1.5886971396358616,9.532182837815169
1751365571.4112775,6182.0,-5992.0,483.69,76.82051282051282,8.044625290730785,1.4239282941678686,8.543569765007211
1751365571.4194565,6193.0,-6063.0,492.29,77.73076923076923,8.139947119108939,1.4442701269416924,8.665620761650155
1751365571.4313993,6203.0,-6133.0,492.29,78.62820512820512,8.233926386524017,1.5663211235846553,9.39792674150793
1751365571.432469,6214.0,-6203.0,492.29,79.52564102564102,8.327905653939096,1.4239282941678686,8.543569765007211
1751365571.4507473,6224.0,-6274.0,492.29,80.43589743589743,8.423227482317248,1.5886971396358616,9.532182837815169
1751365571.460616,6235.0,-6344.0,492.29,81.33333333333333,8.517206749732328,1.4239282941678686,8.543569765007211
1751365571.4659855,6245.0,-6414.0,492.29,82.23076923076923,8.611186017147407,1.5663211235846553,9.39792674150793
1751365571.479448,6256.0,-6484.0,494.82,83.12820512820512,8.705165284562487,1.4239282941678686,8.543569765007211
1751365571.4931772,6266.0,-6554.0,494.82,84.02564102564102,8.799144551977566,1.5663211235846553,9.39792674150793
1751365571.4982471,6277.0,-6624.0,494.82,84.92307692307692,8.893123819392645,1.4239282941678686,8.543569765007211
1751365571.5135355,6288.0,-6694.0,494.82,85.82051282051282,8.987103086807725,1.4239282941678686,8.543569765007211
1751365571.5251997,6298.0,-6764.0,494.82,86.71794871794872,9.081082354222803,1.5663211235846553,9.39792674150793
1751365571.5322855,6308.0,-6834.0,494.82,87.61538461538461,9.175061621637882,1.5663211235846553,9.39792674150793
1751365571.5439699,6319.0,-6904.0,496.97,88.51282051282051,9.269040889052963,1.4239282941678686,8.543569765007211
1751365571.5585985,6330.0,-6975.0,496.97,89.42307692307692,9.364362717431113,1.4442701269416924,8.665620761650155
1751365571.5641475,6340.0,-7045.0,496.97,90.32051282051282,9.458341984846193,1.5663211235846553,9.39792674150793
