system_time,time,vt,vFilt,pos,curr
1757419436.9979799,11746.0,10.0,9.52,19232.0,458.89
1757419437.024287,11760.0,10.0,9.56,19328.0,463.28
1757419437.0267782,11773.0,10.0,9.58,19423.0,463.28
1757419437.049998,11787.0,10.0,9.57,19519.0,463.28
1757419437.0584729,11800.0,10.0,9.55,19614.0,463.28
1757419437.0785327,11813.0,10.0,9.54,19710.0,463.28
1757419437.0905797,11827.0,10.0,9.52,19805.0,455.27
1757419437.0905797,11841.0,10.0,9.51,19900.0,455.27
1757419437.1189356,11854.0,10.0,9.5,19996.0,455.27
1757419437.1229804,11868.0,10.0,9.51,20092.0,455.27
1757419437.1458688,11881.0,10.0,9.54,20189.0,455.27
1757419437.1575842,11894.0,10.0,9.59,20286.0,462.4
1757419437.1726174,11908.0,10.0,9.63,20383.0,462.4
1757419437.1777065,11921.0,10.0,9.66,20480.0,462.4
1757419437.1946576,11935.0,10.0,9.67,20577.0,462.4
1757419437.2110603,11949.0,10.0,9.68,20674.0,462.4
1757419437.225439,11962.0,10.0,9.68,20771.0,449.51
1757419437.2370086,11975.0,10.0,9.68,20867.0,449.51
1757419437.2515676,11988.0,10.0,9.65,20963.0,449.51
1757419437.265901,12002.0,10.0,9.62,21059.0,449.51
1757419437.265901,12015.0,10.0,9.59,21155.0,456.05
1757419437.2917573,12029.0,10.0,9.57,21251.0,456.05
1757419437.300085,12043.0,10.0,9.56,21347.0,456.05
1757419437.3206537,12056.0,10.0,9.57,21443.0,456.05
1757419437.3338108,12069.0,10.0,9.58,21540.0,456.05
1757419437.3455474,12083.0,10.0,9.61,21637.0,457.91
1757419437.3522785,12096.0,10.0,9.64,21734.0,457.91
1757419437.3652403,12109.0,10.0,9.66,21831.0,457.91
1757419437.3858533,12124.0,10.0,9.66,21927.0,457.91
1757419437.3971467,12137.0,10.0,9.64,22023.0,457.91
1757419437.414662,12150.0,10.0,9.61,22119.0,458.11
1757419437.42669,12164.0,10.0,9.59,22215.0,458.11
1757419437.429365,12177.0,10.0,9.58,22312.0,458.11
1757419437.4546053,12190.0,10.0,9.6,22409.0,458.11
1757419437.462885,12205.0,10.0,9.61,22505.0,458.11
1757419437.4804904,12218.0,10.0,9.63,22603.0,457.91
1757419437.4938493,12231.0,10.0,9.66,22700.0,457.91
1757419437.508084,12244.0,10.0,9.68,22797.0,457.91
1757419437.5206072,12258.0,10.0,9.69,22895.0,457.91
1757419437.52535,12271.0,10.0,9.72,22994.0,458.01
1757419437.543553,12285.0,10.0,9.75,23092.0,458.01
1757419437.5595238,12299.0,10.0,9.77,23189.0,458.01
1757419437.5749307,12312.0,10.0,9.76,23287.0,458.01
1757419437.5903766,12325.0,10.0,9.74,23384.0,458.01
1757419437.5914698,12339.0,10.0,9.73,23481.0,447.95
1757419437.6072032,12352.0,10.0,9.71,23578.0,447.95
1757419437.6305215,12365.0,10.0,9.69,23675.0,447.95
1757419437.6359434,12380.0,10.0,9.69,23773.0,447.95
1757419437.6556299,12393.0,10.0,9.7,23871.0,447.95
1757419437.6652598,12406.0,10.0,9.72,23969.0,459.18
1757419437.684583,12420.0,10.0,9.74,24067.0,459.18
1757419437.6977205,12433.0,10.0,9.76,24165.0,459.18
1757419437.7094774,12446.0,10.0,9.76,24263.0,459.18
1757419437.7168045,12460.0,10.0,9.77,24361.0,459.18
1757419437.7291815,12474.0,10.0,9.77,24459.0,445.9
1757419437.7498991,12487.0,10.0,9.77,24557.0,445.9
1757419437.763146,12500.0,10.0,9.77,24655.0,445.9
1757419437.7791848,12514.0,10.0,9.78,24753.0,445.9
1757419437.790679,12527.0,10.0,9.79,24852.0,454.2
1757419437.8051338,12540.0,10.0,9.81,24951.0,454.2
1757419437.8202834,12555.0,10.0,9.82,25049.0,454.2
1757419437.8329198,12568.0,10.0,9.83,25148.0,454.2
1757419437.8441756,12581.0,10.0,9.83,25247.0,454.2
1757419437.8563328,12595.0,10.0,9.84,25345.0,444.04
1757419437.8599622,12608.0,10.0,9.83,25443.0,444.04
1757419437.885916,12621.0,10.0,9.82,25542.0,444.04
1757419437.8924224,12635.0,10.0,9.82,25641.0,444.04
1757419437.9141247,12649.0,10.0,9.83,25739.0,444.04
1757419437.9222267,12662.0,10.0,9.82,25837.0,456.15
1757419437.940307,12676.0,10.0,9.81,25936.0,456.15
1757419437.9514482,12689.0,10.0,9.82,26035.0,456.15
1757419437.9559157,12702.0,10.0,9.84,26134.0,456.15
1757419437.9780319,12716.0,10.0,9.85,26233.0,456.15
1757419437.991171,12730.0,10.0,9.85,26331.0,444.14
1757419438.0083973,12743.0,10.0,9.84,26430.0,444.14
1757419438.0095732,12756.0,10.0,9.83,26529.0,444.14
1757419438.0254226,12770.0,10.0,9.83,26627.0,444.14
1757419438.0411744,12783.0,10.0,9.81,26725.0,444.14
1757419438.061124,12796.0,10.0,9.79,26823.0,455.57
1757419438.0691786,12810.0,10.0,9.78,26921.0,455.57
1757419438.087126,12824.0,10.0,9.77,27020.0,455.57
1757419438.0964074,12837.0,10.0,9.79,27119.0,455.57
1757419438.114991,12851.0,10.0,9.81,27217.0,445.9
1757419438.114991,12864.0,10.0,9.82,27315.0,445.9
1757419438.1306062,12877.0,10.0,9.82,27414.0,445.9
1757419438.15546,12891.0,10.0,9.82,27513.0,445.9
1757419438.1636467,12905.0,10.0,9.84,27612.0,445.9
1757419438.1817875,12918.0,10.0,9.85,27711.0,452.83
1757419438.192736,12932.0,10.0,9.86,27809.0,452.83
1757419438.2092488,12945.0,10.0,9.84,27907.0,452.83
1757419438.221462,12958.0,10.0,9.81,28005.0,452.83
1757419438.2335296,12972.0,10.0,9.79,28103.0,452.83
1757419438.249351,12986.0,10.0,9.78,28202.0,442.29
1757419438.2599297,12999.0,10.0,9.79,28301.0,442.29
1757419438.276147,13012.0,10.0,9.8,28399.0,442.29
1757419438.2904296,13026.0,10.0,9.81,28497.0,442.29
1757419438.303186,13039.0,10.0,9.81,28596.0,442.29
1757419438.3164022,13052.0,10.0,9.82,28695.0,452.34
1757419438.331734,13066.0,10.0,9.82,28793.0,452.34
1757419438.3439267,13080.0,10.0,9.82,28892.0,452.34
1757419438.3565524,13093.0,10.0,9.82,28990.0,452.34
1757419438.3701086,13107.0,10.0,9.81,29089.0,442.87
1757419438.3844788,13120.0,10.0,9.82,29188.0,442.87
1757419438.3918643,13133.0,10.0,9.83,29287.0,442.87
1757419438.409958,13147.0,10.0,9.85,29386.0,442.87
1757419438.417071,13161.0,10.0,9.85,29485.0,442.87
1757419438.4328263,13174.0,10.0,9.86,29584.0,446.78
1757419438.450698,13188.0,10.0,9.87,29683.0,446.78
1757419438.4630904,13201.0,10.0,9.87,29782.0,446.78
1757419438.465978,13214.0,10.0,9.87,29881.0,446.78
1757419438.4919002,13228.0,10.0,9.88,29981.0,446.78
1757419438.4948797,13242.0,10.0,9.89,30080.0,438.77
1757419438.5199332,13255.0,10.0,9.9,30180.0,438.77
1757419438.5296822,13268.0,10.0,9.91,30279.0,438.77
1757419438.54577,13282.0,10.0,9.92,30379.0,438.77
1757419438.5612674,13295.0,10.0,9.93,30479.0,438.77
1757419438.562407,13308.0,10.0,9.95,30580.0,442.09
1757419438.5851789,13322.0,10.0,9.98,30680.0,442.09
1757419438.5920691,13336.0,10.0,9.99,30780.0,442.09
1757419438.6141696,13349.0,10.0,9.99,30881.0,442.09
1757419438.625737,13363.0,10.0,10.0,30981.0,433.5
1757419438.625737,13376.0,10.0,10.01,31082.0,433.5
1757419438.654333,13389.0,10.0,10.01,31183.0,433.5
1757419438.658331,13404.0,10.0,10.01,31284.0,433.5
1757419438.6783772,13417.0,10.0,10.01,31385.0,433.5
1757419438.692278,13430.0,10.0,10.02,31486.0,430.08
1757419438.7090187,13444.0,10.0,10.02,31587.0,430.08
1757419438.721043,13457.0,10.0,10.01,31687.0,430.08
1757419438.723304,13471.0,10.0,10.0,31788.0,430.08
1757419438.7499728,13485.0,10.0,9.99,31889.0,430.08
1757419438.7620628,13498.0,10.0,10.0,31990.0,428.32
1757419438.774826,13511.0,10.0,10.02,32091.0,428.32
1757419438.787763,13524.0,10.0,10.03,32192.0,428.32
1757419438.8032305,13539.0,10.0,10.02,32292.0,428.32
1757419438.8154247,13552.0,10.0,9.99,32392.0,428.32
1757419438.831395,13565.0,10.0,9.96,32492.0,431.25
1757419438.8339274,13579.0,10.0,9.95,32592.0,431.25
1757419438.8559234,13592.0,10.0,9.94,32692.0,431.25
1757419438.868145,13606.0,10.0,9.95,32792.0,431.25
1757419438.885172,13620.0,10.0,9.96,32892.0,435.55
1757419438.8947237,13633.0,10.0,9.96,32991.0,435.55
1757419438.91074,13646.0,10.0,9.95,33091.0,435.55
1757419438.9240718,13660.0,10.0,9.94,33191.0,435.55
1757419438.930373,13673.0,10.0,9.95,33291.0,435.55
1757419438.9512162,13686.0,10.0,9.95,33391.0,438.18
1757419438.9604704,13701.0,10.0,9.95,33491.0,438.18
1757419438.9790034,13714.0,10.0,9.95,33590.0,438.18
1757419438.9901984,13727.0,10.0,9.93,33690.0,438.18
1757419438.9940057,13741.0,10.0,9.92,33789.0,438.18
